run,method,final_acc,round_abs_target,absolute_target,round_final_fraction,final_fraction,n_evals
anchor0_seed0,no_schema,0.39166666666666666,,0.6,15,0.95,16
anchor0_seed0,qproto_full,0.6484583333333334,15,0.6,15,0.95,16
anchor0_seed0,qproto_hop,0.6475,5,0.6,20,0.95,16
anchor0_seed0,qproto_proto,0.646,5,0.6,20,0.95,16
anchor0_seed0,wrong_schema,0.2772916666666666,,0.6,5,0.95,16
anchor0_seed1,no_schema,0.44425,,0.6,5,0.95,16
anchor0_seed1,qproto_full,0.6312500000000001,5,0.6,5,0.95,16
anchor0_seed1,qproto_hop,0.6030833333333333,10,0.6,5,0.95,16
anchor0_seed1,qproto_proto,0.6024166666666667,30,0.6,5,0.95,16
anchor0_seed1,wrong_schema,0.28275,,0.6,1,0.95,16
anchor0_seed2,no_schema,0.4234583333333334,,0.6,5,0.95,16
anchor0_seed2,qproto_full,0.58775,10,0.6,5,0.95,16
anchor0_seed2,qproto_hop,0.5858333333333332,,0.6,5,0.95,16
anchor0_seed2,qproto_proto,0.5844583333333333,,0.6,5,0.95,16
anchor0_seed2,wrong_schema,0.2752916666666666,,0.6,5,0.95,16
anchor128_seed0,no_schema,0.40404166666666674,,0.6,15,0.95,16
anchor128_seed0,qproto_full,0.44412499999999994,15,0.6,1,0.95,16
anchor128_seed0,qproto_hop,0.44608333333333333,5,0.6,1,0.95,16
anchor128_seed0,qproto_proto,0.43,5,0.6,1,0.95,16
anchor128_seed0,wrong_schema,0.3869166666666667,,0.6,15,0.95,16
anchor128_seed1,no_schema,0.43112500000000004,,0.6,1,0.95,16
anchor128_seed1,qproto_full,0.41033333333333327,5,0.6,1,0.95,16
anchor128_seed1,qproto_hop,0.41195833333333337,10,0.6,1,0.95,16
anchor128_seed1,qproto_proto,0.38845833333333335,30,0.6,1,0.95,16
anchor128_seed1,wrong_schema,0.3724583333333334,,0.6,30,0.95,16
anchor128_seed2,no_schema,0.4265416666666667,,0.6,5,0.95,16
anchor128_seed2,qproto_full,0.472375,10,0.6,1,0.95,16
anchor128_seed2,qproto_hop,0.46729166666666666,,0.6,1,0.95,16
anchor128_seed2,qproto_proto,0.40004166666666674,,0.6,1,0.95,16
anchor128_seed2,wrong_schema,0.4498333333333333,,0.6,5,0.95,16
