run,method,final_acc,round_abs_target,absolute_target,round_final_fraction,final_fraction,n_evals
baseline_suite_seed0,classical_kernel,0.9991666666666666,1,0.6,1,0.95,27
baseline_suite_seed0,fedavg_forced,0.31179166666666663,,0.6,20,0.95,27
baseline_suite_seed0,fedprox_forced,0.3111666666666667,,0.6,20,0.95,18
baseline_suite_seed0,forced_canonical,0.42841666666666667,,0.6,15,0.95,27
baseline_suite_seed0,no_schema,0.41120833333333334,,0.6,15,0.95,27
baseline_suite_seed0,qproto_full,0.6733333333333333,15,0.6,15,0.95,27
baseline_suite_seed0,qproto_hop,0.642625,5,0.6,5,0.95,27
baseline_suite_seed0,qproto_proto,0.6421666666666668,5,0.6,5,0.95,27
baseline_suite_seed0,wrong_schema,0.28841666666666665,,0.6,5,0.95,27
baseline_suite_seed1,classical_kernel,0.9991666666666666,1,0.6,1,0.95,27
baseline_suite_seed1,fedavg_forced,0.28808333333333336,,0.6,1,0.95,27
baseline_suite_seed1,fedprox_forced,0.28575,,0.6,1,0.95,18
baseline_suite_seed1,forced_canonical,0.42391666666666666,,0.6,1,0.95,27
baseline_suite_seed1,no_schema,0.47354166666666664,,0.6,30,0.95,27
baseline_suite_seed1,qproto_full,0.6244583333333333,5,0.6,5,0.95,27
baseline_suite_seed1,qproto_hop,0.6263333333333334,10,0.6,10,0.95,27
baseline_suite_seed1,qproto_proto,0.6254583333333332,30,0.6,10,0.95,27
baseline_suite_seed1,wrong_schema,0.30062500000000003,,0.6,10,0.95,27
baseline_suite_seed2,classical_kernel,1.0,1,0.6,1,0.95,27
baseline_suite_seed2,fedavg_forced,0.35216666666666663,,0.6,25,0.95,27
baseline_suite_seed2,fedprox_forced,0.35133333333333333,,0.6,25,0.95,18
baseline_suite_seed2,forced_canonical,0.39299999999999996,,0.6,5,0.95,27
baseline_suite_seed2,no_schema,0.38095833333333334,,0.6,1,0.95,27
baseline_suite_seed2,qproto_full,0.5644166666666666,10,0.6,5,0.95,27
baseline_suite_seed2,qproto_hop,0.5275416666666667,,0.6,5,0.95,27
baseline_suite_seed2,qproto_proto,0.5261666666666668,,0.6,5,0.95,27
baseline_suite_seed2,wrong_schema,0.2798333333333334,,0.6,5,0.95,27


