prefix,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean,ref_minus_method_mean,ref_minus_method_ci95,paired_wins,paired_n
baseline_suite,centralized_kernel,3,0.9986111111111111,0.003162407747641879,0.9985870335593783,0.0,-0.377875,0.1377562565187626,0,3
baseline_suite,centralized_qproto,3,0.6120555555555555,0.14059642534982503,0.6131556607315986,0.0,0.00868055555555558,0.051722288105521395,1,3
baseline_suite,classical_kernel,3,0.9994444444444445,0.0011952777777778055,0.9994339890987646,1044.0,-0.37870833333333337,0.13659942516809964,0,3
baseline_suite,fedavg_forced,3,0.3173472222222222,0.08049472600111386,0.3240166645569148,1040.0,0.3033888888888889,0.19856162422552,3,3
baseline_suite,fedprox_forced,3,0.3160833333333333,0.08214950342601714,0.32277594016155037,1040.0,0.3046527777777777,0.19915493473211798,3,3
baseline_suite,forced_canonical,3,0.4151111111111111,0.04789933086660366,0.4147668341473792,1044.0,0.20562499999999997,0.09195215699562236,3,3
baseline_suite,local_only,3,0.7222222222222223,0.0959057550427272,0.7209380202154263,0.0,-0.10148611111111121,0.22155895517194113,0,3
baseline_suite,no_schema,3,0.4219027777777778,0.11728330872061235,0.421404067376211,1044.0,0.1988333333333333,0.14204498509230135,3,3
baseline_suite,qproto_full,3,0.620736111111111,0.13552972950398257,0.6203974411398354,1432.0,,,0,0
baseline_suite,qproto_hop,3,0.5988333333333333,0.15471326451830275,0.60066557693819,1428.0,0.021902777777777716,0.0517281920368724,2,3
baseline_suite,qproto_proto,3,0.5979305555555556,0.15578868555354125,0.5997452659145711,1044.0,0.022805555555555485,0.0519679231777908,2,3
baseline_suite,wrong_schema,3,0.289625,0.025957280896814556,0.29171760222174986,1428.0,0.3311111111111111,0.12561072882134153,3,3


