sweep,x_value,method,n,acc_mean,acc_std,balanced_acc_mean,bytes_mean
sketch_dim,16,no_schema,3,0.3572,0.0523,0.3586,276.0
sketch_dim,16,qproto_full,3,0.5181,0.0160,0.5205,664.0
sketch_dim,16,qproto_proto,3,0.5142,0.0213,0.5160,276.0
sketch_dim,16,wrong_schema,3,0.2736,0.0457,0.2768,660.0
sketch_dim,32,no_schema,3,0.3930,0.0648,0.3937,532.0
sketch_dim,32,qproto_full,3,0.5369,0.0446,0.5388,920.0
sketch_dim,32,qproto_proto,3,0.5090,0.0708,0.5126,532.0
sketch_dim,32,wrong_schema,3,0.2791,0.0232,0.2819,916.0
sketch_dim,64,no_schema,3,0.4003,0.0515,0.4009,1044.0
sketch_dim,64,qproto_full,3,0.6271,0.0368,0.6306,1432.0
sketch_dim,64,qproto_proto,3,0.6064,0.0353,0.6114,1044.0
sketch_dim,64,wrong_schema,3,0.2977,0.0156,0.3004,1428.0
sketch_dim,128,no_schema,3,0.4551,0.0731,0.4567,2068.0
sketch_dim,128,qproto_full,3,0.6228,0.0661,0.6279,2456.0
sketch_dim,128,qproto_proto,3,0.6174,0.0805,0.6237,2068.0
sketch_dim,128,wrong_schema,3,0.2874,0.0098,0.2885,2452.0
hop_dim,8,qproto_full,3,0.6232,0.0085,0.6252,344.0
hop_dim,8,qproto_hop,3,0.6225,0.0100,0.6245,340.0
hop_dim,8,qproto_proto,3,0.4397,0.0472,0.4391,212.0
hop_dim,16,qproto_full,3,0.6585,0.0278,0.6561,472.0
hop_dim,16,qproto_hop,3,0.6565,0.0278,0.6540,468.0
hop_dim,16,qproto_proto,3,0.4397,0.0472,0.4391,212.0
hop_dim,32,qproto_full,3,0.7406,0.0340,0.7411,728.0
hop_dim,32,qproto_hop,3,0.7391,0.0324,0.7398,724.0
hop_dim,32,qproto_proto,3,0.4397,0.0472,0.4391,212.0
hop_dim,64,qproto_full,3,0.7516,0.0261,0.7469,1240.0
hop_dim,64,qproto_hop,3,0.7518,0.0265,0.7471,1236.0
hop_dim,64,qproto_proto,3,0.4397,0.0472,0.4391,212.0
hop_dim,128,qproto_full,3,0.8117,0.0283,0.8106,2264.0
hop_dim,128,qproto_hop,3,0.8094,0.0280,0.8082,2260.0
hop_dim,128,qproto_proto,3,0.4397,0.0472,0.4391,212.0


