group,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
PennyLane high-order,fedadam_schema,3,0.31645833333333334,0.021281399718065266,0.31645833333333334,1552.0
PennyLane high-order,fedproto_schema,3,0.284875,0.029243784436825165,0.284875,1556.0
PennyLane high-order,scaffold_schema,3,0.283375,0.008711804038140354,0.283375,3104.0
PennyLane high-order,feddyn_schema,3,0.2985416666666667,0.011232590721389081,0.2985416666666667,1552.0
PennyLane high-order,qproto_cproto,3,0.4031666666666667,0.06087288740996884,0.4031666666666667,788.0
PennyLane high-order,qproto_chop,3,0.6020416666666667,0.06046755993068069,0.6020416666666667,2324.0
PennyLane high-order,qproto_masked_hop,3,0.5495,0.009021774237689219,0.5495,3476.0
Qiskit Aer MNIST-4,fedadam_schema,3,0.4256944444444445,0.1782489921683504,0.4132081391532628,528.0
Qiskit Aer MNIST-4,fedproto_schema,3,0.4277777777777778,0.1966824498583859,0.4105044646948574,532.0
Qiskit Aer MNIST-4,scaffold_schema,3,0.3572916666666666,0.1906423559977966,0.3400948489879891,1056.0
Qiskit Aer MNIST-4,feddyn_schema,3,0.4184027777777778,0.18751366576967388,0.3893479476482925,528.0
Qiskit Aer MNIST-4,qproto_cproto,3,0.5760416666666667,0.04549029208811656,0.5655396825048843,276.0
Qiskit Aer MNIST-4,qproto_chop,3,0.5791666666666667,0.042601425471275225,0.5683563531497299,532.0
Qiskit Aer MNIST-4,qproto_masked_hop,3,0.5965277777777777,0.06497175870617966,0.584986768063176,660.0


