run,seed,method,family,final_acc,final_balanced_acc,bytes_per_client_round,elapsed_sec
if_nonquantum_sensor_seed0,0,mask_only_metadata,missing-view,0.15890033540967896,0.15890033540967896,3100,0.7365427999999996
if_nonquantum_sensor_seed0,0,zero_fill_proto,missing-view,0.5830737901293723,0.5830737901293723,3100,0.6722780999999998
if_nonquantum_sensor_seed0,0,mean_impute_proto,missing-view,0.5817920459990418,0.5817920459990418,3100,0.8654454
if_nonquantum_sensor_seed0,0,value_mask_proto,missing-view,0.3354935313847628,0.3354935313847628,6172,1.2306191999999996
if_nonquantum_sensor_seed0,0,anchor_pca_impute,missing-view,0.5635960709151893,0.5635960709151893,3100,13.120259399999998
if_nonquantum_sensor_seed0,0,anchor_ridge_impute,missing-view,0.5563488260661236,0.5563488260661236,3100,1.3665003999999996
if_nonquantum_sensor_seed0,0,anchor_ae_impute,deep-missing-view,0.5571753713464304,0.5571753713464304,3100,7.509061100000004
if_nonquantum_sensor_seed0,0,mask_aware_mlp_pooled,deep-missing-view,0.907654528030666,0.907654528030666,6172,3.633132800000002
if_nonquantum_sensor_seed0,0,late_fusion_proto,missing-view,0.5892908481073311,0.5892908481073311,3100,0.22136019999999945
if_nonquantum_sensor_seed0,0,shared_view_proto,shared-view,0.4475323430761858,0.4475323430761858,412,0.051434799999999115
if_nonquantum_sensor_seed0,0,shared_view_rff_equal_bytes,strict-budget,0.43986583612841396,0.43986583612841396,6940,1.5225375999999962
if_nonquantum_sensor_seed0,0,zero_fill_rff_equal_bytes,strict-budget,0.5898059415428845,0.5898059415428845,6940,2.116082300000002
if_nonquantum_sensor_seed0,0,coverage_proto_all,qproto,0.5977719214183038,0.5977719214183038,6172,1.2259920999999991
if_nonquantum_sensor_seed0,0,group_cproto_all,qproto,0.5892908481073311,0.5892908481073311,6172,1.7506222000000022
if_nonquantum_sensor_seed0,0,cproto_equal_bytes,strict-budget,0.5977719214183038,0.5977719214183038,6940,1.1647289
if_nonquantum_sensor_seed0,0,group_cproto_equal_bytes,strict-budget,0.5892908481073311,0.5892908481073311,6940,1.581274999999998
if_nonquantum_sensor_seed0,0,random_key_cproto_equal_bytes,strict-budget,0.6047676090081457,0.6047676090081457,6940,0.8608620999999985
if_nonquantum_sensor_seed0,0,random_key_hop_equal_bytes,strict-budget,0.6045639674173455,0.6045639674173455,6940,1.6778683
if_nonquantum_sensor_seed0,0,chop_equal_bytes,qproto,0.59302827024437,0.59302827024437,6940,1.7103125000000006
if_nonquantum_sensor_seed0,0,adaptive_chop_equal_bytes,qproto,0.5977719214183038,0.5977719214183038,6940,1.1615126999999958
if_nonquantum_sensor_seed1,1,mask_only_metadata,missing-view,0.16847149017728796,0.16847149017728796,3100,0.46073289999999645
if_nonquantum_sensor_seed1,1,zero_fill_proto,missing-view,0.584008145663632,0.584008145663632,3100,0.4736444999999989
if_nonquantum_sensor_seed1,1,mean_impute_proto,missing-view,0.585457594633445,0.585457594633445,3100,0.6286584000000062
if_nonquantum_sensor_seed1,1,value_mask_proto,missing-view,0.30745088643986584,0.30745088643986584,6172,0.9398582999999974
if_nonquantum_sensor_seed1,1,anchor_pca_impute,missing-view,0.5630689985625299,0.5630689985625299,3100,12.680282999999996
if_nonquantum_sensor_seed1,1,anchor_ridge_impute,missing-view,0.5543243890752276,0.5543243890752276,3100,1.0458679999999987
if_nonquantum_sensor_seed1,1,anchor_ae_impute,deep-missing-view,0.55810972688069,0.55810972688069,3100,7.661972799999994
if_nonquantum_sensor_seed1,1,mask_aware_mlp_pooled,deep-missing-view,0.8924413033061811,0.8924413033061811,6172,3.615047700000005
if_nonquantum_sensor_seed1,1,late_fusion_proto,missing-view,0.5967896502156205,0.5967896502156205,3100,0.22817859999999257
if_nonquantum_sensor_seed1,1,shared_view_proto,shared-view,0.44393866794441783,0.44393866794441783,412,0.06340910000000122
if_nonquantum_sensor_seed1,1,shared_view_rff_equal_bytes,strict-budget,0.45495927168183997,0.45495927168183997,6940,1.294561999999999
if_nonquantum_sensor_seed1,1,zero_fill_rff_equal_bytes,strict-budget,0.5994609487302347,0.5994609487302347,6940,1.5570300000000117
if_nonquantum_sensor_seed1,1,coverage_proto_all,qproto,0.6015692381408722,0.6015692381408722,6172,1.0322086000000041
if_nonquantum_sensor_seed1,1,group_cproto_all,qproto,0.5967896502156205,0.5967896502156205,6172,1.5354632000000095
if_nonquantum_sensor_seed1,1,cproto_equal_bytes,strict-budget,0.6015692381408722,0.6015692381408722,6940,1.0354664000000042
if_nonquantum_sensor_seed1,1,group_cproto_equal_bytes,strict-budget,0.5967896502156205,0.5967896502156205,6940,1.469794499999992
if_nonquantum_sensor_seed1,1,random_key_cproto_equal_bytes,strict-budget,0.5832175371346431,0.5832175371346431,6940,1.2083218000000073
if_nonquantum_sensor_seed1,1,random_key_hop_equal_bytes,strict-budget,0.5836966938188788,0.5836966938188788,6940,1.749483099999992
if_nonquantum_sensor_seed1,1,chop_equal_bytes,qproto,0.5975083852419741,0.5975083852419741,6940,1.7754738000000003
if_nonquantum_sensor_seed1,1,adaptive_chop_equal_bytes,qproto,0.6015692381408722,0.6015692381408722,6940,1.1364937000000026
if_nonquantum_sensor_seed2,2,mask_only_metadata,missing-view,0.17436511739338761,0.17436511739338761,3100,0.4798953000000097
if_nonquantum_sensor_seed2,2,zero_fill_proto,missing-view,0.6147101102060373,0.6147101102060373,3100,0.5115987000000075
if_nonquantum_sensor_seed2,2,mean_impute_proto,missing-view,0.6146022999520844,0.6146022999520844,3100,0.6665303999999992
if_nonquantum_sensor_seed2,2,value_mask_proto,missing-view,0.3212625778629612,0.3212625778629612,6172,1.0584510999999992
if_nonquantum_sensor_seed2,2,anchor_pca_impute,missing-view,0.5710828941063727,0.5710828941063727,3100,14.048778200000001
if_nonquantum_sensor_seed2,2,anchor_ridge_impute,missing-view,0.5557259223766172,0.5557259223766172,3100,1.0657611000000031
if_nonquantum_sensor_seed2,2,anchor_ae_impute,deep-missing-view,0.5578102539530427,0.5578102539530427,3100,7.509648099999993
if_nonquantum_sensor_seed2,2,mask_aware_mlp_pooled,deep-missing-view,0.8882367034020124,0.8882367034020124,6172,3.878585600000008
if_nonquantum_sensor_seed2,2,late_fusion_proto,missing-view,0.5994010541447053,0.5994010541447053,3100,0.27917719999999235
if_nonquantum_sensor_seed2,2,shared_view_proto,shared-view,0.45208433157642547,0.45208433157642547,412,0.061762999999999124
if_nonquantum_sensor_seed2,2,shared_view_rff_equal_bytes,strict-budget,0.45495927168183997,0.45495927168183997,6940,1.8450378
if_nonquantum_sensor_seed2,2,zero_fill_rff_equal_bytes,strict-budget,0.6310972688068999,0.6310972688068999,6940,2.221391600000004
if_nonquantum_sensor_seed2,2,coverage_proto_all,qproto,0.6119070436032583,0.6119070436032583,6172,1.5830000999999925
if_nonquantum_sensor_seed2,2,group_cproto_all,qproto,0.5994010541447053,0.5994010541447053,6172,1.5933239000000015
if_nonquantum_sensor_seed2,2,cproto_equal_bytes,strict-budget,0.6119070436032583,0.6119070436032583,6940,1.5133600000000058
if_nonquantum_sensor_seed2,2,group_cproto_equal_bytes,strict-budget,0.5994010541447053,0.5994010541447053,6940,1.696718699999991
if_nonquantum_sensor_seed2,2,random_key_cproto_equal_bytes,strict-budget,0.60449209391471,0.60449209391471,6940,0.8534350000000188
