run,seed,method,family,final_acc,final_balanced_acc,bytes_per_client_round,elapsed_sec
if_nonquantum_sensor_seed0,0,mask_only_metadata,missing-view,0.25225000000000003,0.25225000000000003,10404,0.2379943998530507
if_nonquantum_sensor_seed0,0,zero_fill_proto,missing-view,0.4260833333333334,0.4260833333333334,10404,0.194594900123775
if_nonquantum_sensor_seed0,0,mean_impute_proto,missing-view,0.4285,0.4285,10404,0.30846239998936653
if_nonquantum_sensor_seed0,0,value_mask_proto,missing-view,0.3015833333333334,0.3015833333333334,20788,0.8216834999620914
if_nonquantum_sensor_seed0,0,anchor_pca_impute,missing-view,0.40883333333333327,0.40883333333333327,10404,30.99985030014068
if_nonquantum_sensor_seed0,0,anchor_ridge_impute,missing-view,0.417,0.417,10404,3.779657200211659
if_nonquantum_sensor_seed0,0,anchor_ae_impute,deep-missing-view,0.413,0.413,10404,40.44817789993249
if_nonquantum_sensor_seed0,0,mask_aware_mlp_pooled,deep-missing-view,0.47841666666666666,0.47841666666666666,20788,3.82160080014728
if_nonquantum_sensor_seed0,0,late_fusion_proto,missing-view,0.41108333333333336,0.41108333333333336,10404,0.25232920004054904
if_nonquantum_sensor_seed0,0,shared_view_proto,shared-view,0.39333333333333337,0.39333333333333337,116,0.0021001999266445637
if_nonquantum_sensor_seed0,0,shared_view_rff_equal_bytes,strict-budget,0.3966666666666666,0.3966666666666666,7188,0.6531380999367684
if_nonquantum_sensor_seed0,0,zero_fill_rff_equal_bytes,strict-budget,0.39741666666666664,0.39741666666666664,7188,1.048157700104639
if_nonquantum_sensor_seed0,0,coverage_proto_all,qproto,0.42233333333333334,0.42233333333333334,20788,0.7018142000306398
if_nonquantum_sensor_seed0,0,group_cproto_all,qproto,0.41108333333333336,0.41108333333333336,20788,1.1649382000323385
if_nonquantum_sensor_seed0,0,cproto_equal_bytes,strict-budget,0.4147499999999999,0.4147499999999999,7188,0.2502131999935955
if_nonquantum_sensor_seed0,0,group_cproto_equal_bytes,strict-budget,0.39825,0.39825,7188,0.40849480009637773
if_nonquantum_sensor_seed0,0,random_key_hop_equal_bytes,strict-budget,0.4093333333333334,0.4093333333333334,7188,0.267306299880147
if_nonquantum_sensor_seed0,0,chop_equal_bytes,qproto,0.4105833333333333,0.4105833333333333,7188,0.31281560007482767
if_nonquantum_sensor_seed1,1,mask_only_metadata,missing-view,0.24100000000000005,0.24100000000000005,10404,0.43130990001372993
if_nonquantum_sensor_seed1,1,zero_fill_proto,missing-view,0.4169166666666667,0.4169166666666667,10404,0.3891935998108238
if_nonquantum_sensor_seed1,1,mean_impute_proto,missing-view,0.4179166666666667,0.4179166666666667,10404,0.5616548000834882
if_nonquantum_sensor_seed1,1,value_mask_proto,missing-view,0.24100000000000005,0.24100000000000005,20788,0.6526939999312162
if_nonquantum_sensor_seed1,1,anchor_pca_impute,missing-view,0.4038333333333333,0.4038333333333333,10404,51.41415740014054
if_nonquantum_sensor_seed1,1,anchor_ridge_impute,missing-view,0.41708333333333336,0.41708333333333336,10404,8.84833880001679
if_nonquantum_sensor_seed1,1,anchor_ae_impute,deep-missing-view,0.4246666666666667,0.4246666666666667,10404,32.08202839992009
if_nonquantum_sensor_seed1,1,mask_aware_mlp_pooled,deep-missing-view,0.4782499999999999,0.4782499999999999,20788,3.209278999827802
if_nonquantum_sensor_seed1,1,late_fusion_proto,missing-view,0.4029166666666667,0.4029166666666667,10404,0.1396722998470068
if_nonquantum_sensor_seed1,1,shared_view_proto,shared-view,0.38999999999999996,0.38999999999999996,116,0.002726899925619364
if_nonquantum_sensor_seed1,1,shared_view_rff_equal_bytes,strict-budget,0.3816666666666667,0.3816666666666667,7188,0.7094500998500735
if_nonquantum_sensor_seed1,1,zero_fill_rff_equal_bytes,strict-budget,0.3979166666666667,0.3979166666666667,7188,1.93644900014624
if_nonquantum_sensor_seed1,1,coverage_proto_all,qproto,0.43266666666666664,0.43266666666666664,20788,0.666462899884209
if_nonquantum_sensor_seed1,1,group_cproto_all,qproto,0.4029166666666667,0.4029166666666667,20788,1.0405703000724316
if_nonquantum_sensor_seed1,1,cproto_equal_bytes,strict-budget,0.4083333333333333,0.4083333333333333,7188,0.2894977000541985
if_nonquantum_sensor_seed1,1,group_cproto_equal_bytes,strict-budget,0.38666666666666666,0.38666666666666666,7188,0.4458906000945717
if_nonquantum_sensor_seed1,1,random_key_hop_equal_bytes,strict-budget,0.42908333333333337,0.42908333333333337,7188,0.27894479990936816
if_nonquantum_sensor_seed1,1,chop_equal_bytes,qproto,0.4125,0.4125,7188,0.34316269983537495
if_nonquantum_sensor_seed2,2,mask_only_metadata,missing-view,0.23766666666666675,0.23766666666666675,10404,0.3190377000719309
if_nonquantum_sensor_seed2,2,zero_fill_proto,missing-view,0.4296666666666667,0.4296666666666667,10404,0.34251049999147654
if_nonquantum_sensor_seed2,2,mean_impute_proto,missing-view,0.4281666666666667,0.4281666666666667,10404,0.4813937998842448
if_nonquantum_sensor_seed2,2,value_mask_proto,missing-view,0.24166666666666675,0.24166666666666675,20788,0.7141076999250799
if_nonquantum_sensor_seed2,2,anchor_pca_impute,missing-view,0.43150000000000005,0.43150000000000005,10404,65.59214840014465
if_nonquantum_sensor_seed2,2,anchor_ridge_impute,missing-view,0.45099999999999996,0.45099999999999996,10404,6.62830219976604
if_nonquantum_sensor_seed2,2,anchor_ae_impute,deep-missing-view,0.45025000000000004,0.45025000000000004,10404,28.64417320024222
if_nonquantum_sensor_seed2,2,mask_aware_mlp_pooled,deep-missing-view,0.4496666666666666,0.4496666666666666,20788,2.3213474000804126
if_nonquantum_sensor_seed2,2,late_fusion_proto,missing-view,0.44758333333333333,0.44758333333333333,10404,0.12060799985192716
if_nonquantum_sensor_seed2,2,shared_view_proto,shared-view,0.43166666666666664,0.43166666666666664,116,0.002494199899956584
if_nonquantum_sensor_seed2,2,shared_view_rff_equal_bytes,strict-budget,0.43166666666666664,0.43166666666666664,7188,0.6466250999365002
if_nonquantum_sensor_seed2,2,zero_fill_rff_equal_bytes,strict-budget,0.38891666666666663,0.38891666666666663,7188,2.0545914000831544
if_nonquantum_sensor_seed2,2,coverage_proto_all,qproto,0.42741666666666667,0.42741666666666667,20788,0.6917191001120955
if_nonquantum_sensor_seed2,2,group_cproto_all,qproto,0.44758333333333333,0.44758333333333333,20788,1.253109100041911
if_nonquantum_sensor_seed2,2,cproto_equal_bytes,strict-budget,0.41833333333333333,0.41833333333333333,7188,0.4304678998887539
if_nonquantum_sensor_seed2,2,group_cproto_equal_bytes,strict-budget,0.4390833333333333,0.4390833333333333,7188,0.43598010018467903
if_nonquantum_sensor_seed2,2,random_key_hop_equal_bytes,strict-budget,0.41675000000000006,0.41675000000000006,7188,0.31908880011178553
if_nonquantum_sensor_seed2,2,chop_equal_bytes,qproto,0.43516666666666665,0.43516666666666665,7188,0.3592255001422018
if_nonquantum_sensor_seed3,3,mask_only_metadata,missing-view,0.2531666666666667,0.2531666666666667,10404,0.3206201000139117
if_nonquantum_sensor_seed3,3,zero_fill_proto,missing-view,0.42400000000000004,0.42400000000000004,10404,0.39022359997034073
if_nonquantum_sensor_seed3,3,mean_impute_proto,missing-view,0.4211666666666667,0.4211666666666667,10404,0.516061499947682
if_nonquantum_sensor_seed3,3,value_mask_proto,missing-view,0.25733333333333336,0.25733333333333336,20788,0.6448619000148028
if_nonquantum_sensor_seed3,3,anchor_pca_impute,missing-view,0.4213333333333333,0.4213333333333333,10404,63.38098810007796
if_nonquantum_sensor_seed3,3,anchor_ridge_impute,missing-view,0.4218333333333334,0.4218333333333334,10404,5.459631700068712
if_nonquantum_sensor_seed3,3,anchor_ae_impute,deep-missing-view,0.4285,0.4285,10404,30.944833400193602
