method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
schema_mask_only,5,0.20068,0.0019205627150395324,0.20000000000000004,1944.0
schema_zero_fill,5,0.62734,0.0295410750053819,0.6263099561033365,1944.0
no_schema,5,0.2926,0.015989916631177253,0.29203362604065225,1944.0
forced_canonical,5,0.29013,0.009325521545007527,0.2888302335349744,1944.0
shared_observable,5,0.6267400000000001,0.06964051781376698,0.6263507846298482,1944.0
fedproto_schema,5,0.28975,0.010793964746282983,0.28877528972604904,1944.0
fedadam_schema,5,0.33253,0.012819786206891268,0.33045268221851376,1940.0
qproto_masked,5,0.37176,0.012954539432708518,0.3713822657774524,3864.0
qproto_cproto,5,0.35807,0.027564596695732725,0.35737988746056104,1944.0
qproto_masked_hop,5,0.69094,0.041174415830726716,0.6927718074949176,5784.0
qproto_chop,5,0.7323999999999999,0.02371665165810721,0.734425816040615,3864.0


