family,setting,comparison,method_a,method_b,n,seeds,deltas,delta_acc_mean,delta_acc_ci95,wins,cohen_dz,p_one_sided,p_holm,p_two_sided,p_two_sided_holm,significant_005
IF fusion,MNIST-10,Masked-HOP - zero-fill,qproto_masked_hop,schema_zero_fill,5,"0,1,2,3,4",,0.05184500000000001,0.013776789759679173,5,4.671897517091607,0.00023721007271421178,0.005930251817855295,0.00047442014542842356,0.01186050363571059,True
IF fusion,MNIST-10,Masked-HOP - shared-observable,qproto_masked_hop,shared_observable,5,"0,1,2,3,4",,0.049635000000000075,0.012883350652279966,5,4.782925965069883,0.00021652536029416393,0.005672419081018364,0.00043305072058832787,0.011344838162036727,True
IF fusion,MNIST-10,Masked-HOP - CProto,qproto_masked_hop,qproto_cproto,5,"0,1,2,3,4",,0.006785000000000085,0.0028258330144577785,5,2.980834176089264,0.0013161831769864262,0.0250074803627421,0.0026323663539728525,0.0500149607254842,True
IF fusion,MNIST-10,CHOP - zero-fill,qproto_chop,schema_zero_fill,5,"0,1,2,3,4",,0.04676,0.016727769798918154,5,3.4703311525699605,0.0007431607597618546,0.014863215195237093,0.0014863215195237093,0.029726430390474186,True
IF fusion,Fashion-10,Masked-HOP - zero-fill,qproto_masked_hop,schema_zero_fill,5,"0,1,2,3,4",,0.01516500000000003,0.010128563259890406,5,1.8587844444291692,0.0070934249677133574,0.08512109961256029,0.014186849935426715,0.17024219922512057,False
IF fusion,Fashion-10,Masked-HOP - shared-observable,qproto_masked_hop,shared_observable,5,"0,1,2,3,4",,0.006355000000000044,0.012180587734029979,4,0.6477117420778501,0.1105498224166909,0.4421992896667636,0.2210996448333818,0.8843985793335272,False
IF fusion,Fashion-10,Masked-HOP - CProto,qproto_masked_hop,qproto_cproto,5,"0,1,2,3,4",,0.0026900000000000144,0.0019471122046763835,5,1.7151249340226216,0.009268231028631297,0.08694114596393396,0.018536462057262594,0.17388229192786792,False
IF fusion,Fashion-10,CHOP - zero-fill,qproto_chop,schema_zero_fill,5,"0,1,2,3,4",,0.013340000000000041,0.010820428173487473,5,1.5305440828079064,0.01336061500663499,0.10581314461498284,0.02672123001326998,0.21162628922996568,False
IF fusion,CIFAR-10,Masked-HOP - zero-fill,qproto_masked_hop,schema_zero_fill,5,"0,1,2,3,4",,0.03263333333333338,0.004965191569941922,5,8.159431247341487,2.6539559431480034e-05,0.0008758054612388411,5.307911886296007e-05,0.0017516109224776821,True
IF fusion,CIFAR-10,Masked-HOP - shared-observable,qproto_masked_hop,shared_observable,5,"0,1,2,3,4",,0.028860000000000052,0.01953530545177235,5,1.8340475038296875,0.007420115342377006,0.08512109961256029,0.014840230684754012,0.17024219922512057,False
