setting,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
clean,qproto_masked_hop,5,0.5795,0.025204719478700812,0.5745478174069618,660.0
clean,qproto_chop,5,0.57225,0.03244774716370924,0.5658143487540878,532.0
clean,qproto_masked,5,0.5765,0.022418455923635765,0.5720255444800837,404.0
clean,qproto_cproto,5,0.56825,0.04103705976309708,0.5619847362369753,276.0
clean,fedproto_schema,5,0.45425,0.0402071042727526,0.4544306316557313,532.0
clean,fedadam_schema,5,0.43775,0.029958783119479353,0.4412163292355187,528.0
clean,shared_observable,5,0.518,0.03866520585746314,0.5147083062997013,532.0
clean,no_schema,5,0.35975,0.028156222331839863,0.35751550296796836,532.0
clean,wrong_schema,5,0.32025,0.05737999386545799,0.32168990261362823,788.0
lowshot,qproto_masked_hop,5,0.54725,0.04260334806092123,0.5447669935751537,660.0
lowshot,qproto_chop,5,0.54975,0.05761036083900185,0.5488833271055071,532.0
lowshot,qproto_masked,5,0.5445000000000001,0.04157633466288251,0.5426323408253693,404.0
lowshot,qproto_cproto,5,0.5455,0.05392027182794981,0.5450211751249341,276.0
lowshot,fedproto_schema,5,0.40975,0.03697463706380359,0.41140843494152446,532.0
lowshot,fedadam_schema,5,0.3975,0.030939482057720347,0.4004434226216041,528.0
lowshot,shared_observable,5,0.466,0.025743564943496063,0.46300886855603574,532.0
lowshot,no_schema,5,0.33975,0.03929535616329236,0.3350053161421893,532.0
lowshot,wrong_schema,5,0.3085,0.03963098530190741,0.30941165497152884,788.0
readout_high,qproto_masked_hop,5,0.57175,0.012346570131012058,0.5675349371342131,660.0
readout_high,qproto_chop,5,0.58325,0.026485898776518798,0.5768738213355633,532.0
readout_high,qproto_masked,5,0.568,0.016878616471737246,0.5634766110770781,404.0
readout_high,qproto_cproto,5,0.5725,0.020645770995533226,0.5653276565820188,276.0
readout_high,fedproto_schema,5,0.4365,0.03630091040180672,0.43695405683255095,532.0
readout_high,fedadam_schema,5,0.425,0.03349943103994455,0.4279963324812734,528.0
readout_high,shared_observable,5,0.496,0.032373444920181106,0.4926357039339956,532.0
readout_high,no_schema,5,0.35550000000000004,0.033003330347102865,0.3534705626140542,532.0
readout_high,wrong_schema,5,0.31375000000000003,0.052269304663444656,0.31404152741171154,788.0
depol_high,qproto_masked_hop,5,0.5924999999999999,0.025380861884498732,0.586607375303861,660.0
depol_high,qproto_chop,5,0.593,0.03519271194437847,0.5864233414040557,532.0
depol_high,qproto_masked,5,0.58625,0.024413614029880897,0.5803816554176942,404.0
depol_high,qproto_cproto,5,0.58525,0.033163470958269714,0.5795045353684735,276.0
depol_high,fedproto_schema,5,0.44375,0.04354815438109864,0.4431439296652989,532.0
depol_high,fedadam_schema,5,0.43075,0.028961510561433083,0.4342193625993437,528.0
depol_high,shared_observable,5,0.506,0.02077368181136894,0.5030777550602572,532.0
depol_high,no_schema,5,0.3515,0.03944826885935555,0.34648665490753494,532.0
depol_high,wrong_schema,5,0.312,0.04858743514531299,0.3118143622522913,788.0
depth2,qproto_masked_hop,5,0.61175,0.04337638797779269,0.6090202292022772,660.0
depth2,qproto_chop,5,0.58875,0.03717923237507735,0.5882159337296514,532.0
depth2,qproto_masked,5,0.608,0.04428296482847552,0.605053249023269,404.0
depth2,qproto_cproto,5,0.584,0.04528848535775952,0.5834185346887178,276.0
depth2,fedproto_schema,5,0.48224999999999996,0.05169484835068191,0.4775367030698617,532.0
depth2,fedadam_schema,5,0.46225,0.054085268289988185,0.46264837735064795,528.0
depth2,shared_observable,5,0.538,0.06354554448582528,0.5319995476422131,532.0
depth2,no_schema,5,0.37,0.03109476274230115,0.364832598031409,532.0
depth2,wrong_schema,5,0.323,0.04475627468858419,0.3230627763401031,788.0


