prefix,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean,ref_minus_method_mean,ref_minus_method_ci95,paired_wins,paired_n
real_cifar4_main,centralized_kernel,5,0.41233333333333333,0.009408187592611982,0.41228976909752885,0.0,0.07184166666666672,0.040528391819891735,5,5
real_cifar4_main,centralized_qproto,5,0.488725,0.045342551947909676,0.48907407027448846,0.0,-0.004549999999999987,0.009998605613673198,2,5
real_cifar4_main,classical_kernel,5,0.4111666666666667,0.009666301464365794,0.41115876397105283,3092.0,0.07300833333333337,0.03772117531213586,5,5
real_cifar4_main,fedavg_forced,5,0.29814999999999997,0.045699365722853415,0.29892372692221425,3088.0,0.18602500000000005,0.05716679873642665,5,5
real_cifar4_main,fedprox_forced,5,0.29834166666666667,0.045833424210649336,0.2990707704160145,3088.0,0.18583333333333338,0.057600432207579856,5,5
real_cifar4_main,forced_canonical,5,0.33876666666666666,0.01909588358358358,0.33866323748989724,3092.0,0.14540833333333336,0.03628856917873726,5,5
real_cifar4_main,local_only,5,0.5330916666666666,0.022148381764464112,0.5329928429977802,0.0,-0.04891666666666661,0.033760046721597534,0,5
real_cifar4_main,no_schema,5,0.33891666666666664,0.01706685085968312,0.3388364139211452,3092.0,0.1452583333333334,0.03650478115559354,5,5
real_cifar4_main,qproto_full,5,0.484175,0.040438237873961703,0.4842430029303583,4632.0,,,0,0
real_cifar4_main,qproto_hop,5,0.485875,0.05208981266268219,0.4854632985226523,4628.0,-0.0016999999999999349,0.014771380573633284,2,5
real_cifar4_main,qproto_proto,5,0.48557500000000003,0.05208618337883223,0.4851608261749384,3092.0,-0.001399999999999979,0.014883095679476276,2,5
real_cifar4_main,wrong_schema,5,0.26791666666666664,0.014614656122840828,0.2672073243356836,4628.0,0.21625833333333339,0.039297695102978585,5,5

