method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
centralized_qproto,5,0.488725,0.045342551947909676,0.48907407027448846,0.0
qproto_full,5,0.484175,0.040438237873961703,0.4842430029303583,4632.0
qproto_hop,5,0.485875,0.05208981266268219,0.4854632985226523,4628.0
qproto_proto,5,0.48557500000000003,0.05208618337883223,0.4851608261749384,3092.0
no_schema,5,0.33891666666666664,0.01706685085968312,0.3388364139211452,3092.0
forced_canonical,5,0.33876666666666666,0.01909588358358358,0.33866323748989724,3092.0
wrong_schema,5,0.26791666666666664,0.014614656122840828,0.2672073243356836,4628.0
fedavg_forced,5,0.29814999999999997,0.045699365722853415,0.29892372692221425,3088.0
fedprox_forced,5,0.29834166666666667,0.045833424210649336,0.2990707704160145,3088.0
local_only,5,0.5330916666666666,0.022148381764464112,0.5329928429977802,0.0
classical_kernel,5,0.4111666666666667,0.009666301464365794,0.41115876397105283,3092.0
centralized_kernel,5,0.41233333333333333,0.009408187592611982,0.41228976909752885,0.0

