shots,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
32,fedavg_forced,5,0.28559,0.03143917740643986,0.28190207025371944,3088.0
32,no_schema,5,0.33439,0.01988124803591564,0.3337490055379559,3092.0
32,qproto_full,5,0.47387,0.03269677281332822,0.47371204078639045,4632.0
32,qproto_proto,5,0.46858,0.03280900248880472,0.46860300059480026,3092.0
32,wrong_schema,5,0.26104,0.007847467717525182,0.26061525151020576,4628.0
64,fedavg_forced,5,0.28642,0.0321931811581024,0.28274636637311923,3088.0
64,no_schema,5,0.33595,0.019951552516633893,0.3352633937691176,3092.0
64,qproto_full,5,0.47600000000000003,0.036356327825565644,0.4759159637424005,4632.0
64,qproto_proto,5,0.47122,0.03395941627281604,0.4712413649222434,3092.0
64,wrong_schema,5,0.26101,0.008438811707438446,0.2605622303519367,4628.0
128,fedavg_forced,5,0.28689,0.032685510968770225,0.2832237379747797,3088.0
128,no_schema,5,0.33704,0.02042433392778328,0.3363130761486666,3092.0
128,qproto_full,5,0.47513,0.036793275117151546,0.4750997507371572,4632.0
128,qproto_proto,5,0.47206,0.0343939398314529,0.4721059420844615,3092.0
128,wrong_schema,5,0.26171,0.008785546621218315,0.26123790430127336,4628.0
256,fedavg_forced,5,0.28732,0.033139952644601026,0.28365419263885616,3088.0
256,no_schema,5,0.33713,0.019515477438546047,0.33639992992753065,3092.0
256,qproto_full,5,0.47438,0.03716831277255394,0.47440754346602587,4632.0
256,qproto_proto,5,0.47236,0.03451692286669833,0.47240244735026615,3092.0
256,wrong_schema,5,0.26187,0.008899082738709617,0.26140820894239003,4628.0
1024,fedavg_forced,5,0.28736,0.03332360512852114,0.2837044590082127,3088.0
1024,no_schema,5,0.33812,0.019405590224839828,0.3373590635903688,3092.0
1024,qproto_full,5,0.47316,0.036012205004548076,0.47321522310504377,4632.0
1024,qproto_proto,5,0.47198999999999997,0.03466093078971766,0.47203621221503045,3092.0
1024,wrong_schema,5,0.26208,0.00936016404078474,0.2616032024084002,4628.0

