setting,axis,value,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
CIFAR-10 clients,clients,50.0,qproto_masked_hop,3,0.45293333333333335,0.012715842967296543,0.45328777216453453,24364.0
CIFAR-10 clients,clients,50.0,qproto_chop,3,0.4490222222222222,0.012285468536268737,0.44934610080784665,11564.0
CIFAR-10 clients,clients,50.0,qproto_cproto,3,0.4484888888888889,0.011385442906014296,0.44880486215942794,7724.0
CIFAR-10 clients,clients,50.0,fedadam_schema,3,0.32011999999999996,0.042748177268388796,0.31859986438513777,7720.0
CIFAR-10 clients,clients,50.0,fedproto_schema,3,0.32541555555555557,0.03373847283026981,0.3253239072290729,7724.0
CIFAR-10 clients,clients,50.0,shared_observable,3,0.42381555555555556,0.044449908489103254,0.42418437291365446,7724.0
CIFAR-10 clients,clients,50.0,no_schema,3,0.14772,0.0216704619283775,0.14793902124145775,7724.0
CIFAR-10 clients,clients,50.0,wrong_schema,3,0.11138666666666668,0.0038930811921169483,0.11145091765493723,11564.0
CIFAR-10 clients,clients,100.0,qproto_masked_hop,3,0.4549555555555555,0.006615295717541598,0.4552871919805357,24364.0
CIFAR-10 clients,clients,100.0,qproto_chop,3,0.45108555555555546,0.00816929891359336,0.4513822773823824,11564.0
CIFAR-10 clients,clients,100.0,qproto_cproto,3,0.45041,0.00818649231638331,0.4507154036053354,7724.0
CIFAR-10 clients,clients,100.0,fedadam_schema,3,0.34212888888888887,0.04516144093634974,0.34249328915850413,7720.0
CIFAR-10 clients,clients,100.0,fedproto_schema,3,0.3485222222222222,0.0264761218773425,0.3488586753628001,7724.0
CIFAR-10 clients,clients,100.0,shared_observable,3,0.42397222222222225,0.04458785860732303,0.42429914433265686,7724.0
CIFAR-10 clients,clients,100.0,no_schema,3,0.13682444444444444,0.018074281532148732,0.13722016579362528,7724.0
CIFAR-10 clients,clients,100.0,wrong_schema,3,0.10961222222222222,0.003290165303638707,0.10963907816005163,11564.0
CIFAR-10 overlap,overlap,0.2,qproto_masked_hop,3,0.45253333333333334,0.009531933724785644,0.45283705578190553,24364.0
CIFAR-10 overlap,overlap,0.2,qproto_chop,3,0.4246555555555556,0.013997146789380237,0.42516556059500427,11564.0
CIFAR-10 overlap,overlap,0.2,qproto_cproto,3,0.42442222222222226,0.013813440067588672,0.4249434842075696,7724.0
CIFAR-10 overlap,overlap,0.2,fedadam_schema,3,0.14821666666666666,0.030800868122131626,0.14770587855016348,7720.0
CIFAR-10 overlap,overlap,0.2,fedproto_schema,3,0.14294444444444446,0.03884699117501386,0.1433227300930417,7724.0
CIFAR-10 overlap,overlap,0.2,shared_observable,3,0.3254,0.041220574801832055,0.3260556444648471,7724.0
CIFAR-10 overlap,overlap,0.2,no_schema,3,0.1566111111111111,0.01492696656444156,0.156770045477451,7724.0
CIFAR-10 overlap,overlap,0.2,wrong_schema,3,0.11238888888888889,0.0024172997065200737,0.11245041361425061,11564.0
CIFAR-10 overlap,overlap,0.6,qproto_masked_hop,3,0.4618944444444445,0.04496241004949482,0.46220313530661516,24364.0
CIFAR-10 overlap,overlap,0.6,qproto_chop,3,0.45285,0.04450872923406261,0.45319954433868115,11564.0
CIFAR-10 overlap,overlap,0.6,qproto_cproto,3,0.4523444444444445,0.04505603665889222,0.45268669427228847,7724.0
CIFAR-10 overlap,overlap,0.6,fedadam_schema,3,0.20257777777777777,0.05464371295577376,0.20208972996786714,7720.0
CIFAR-10 overlap,overlap,0.6,fedproto_schema,3,0.19261666666666669,0.06420973036564329,0.1931460362599887,7724.0
CIFAR-10 overlap,overlap,0.6,shared_observable,3,0.4224611111111111,0.04393287008345106,0.4231342762736288,7724.0
CIFAR-10 overlap,overlap,0.6,no_schema,3,0.16079444444444446,0.016411176947271674,0.16085535067669735,7724.0
CIFAR-10 overlap,overlap,0.6,wrong_schema,3,0.11359999999999999,0.009798012084677279,0.11398944236482478,11564.0
CIFAR-10 overlap,overlap,1.0,qproto_masked_hop,3,0.45974444444444446,0.017240878254774515,0.4600598184352111,24364.0
CIFAR-10 overlap,overlap,1.0,qproto_chop,3,0.46010555555555555,0.018945345077012413,0.46039048522805376,11564.0
CIFAR-10 overlap,overlap,1.0,qproto_cproto,3,0.45884444444444444,0.01882451316910807,0.4591424152459066,7724.0
CIFAR-10 overlap,overlap,1.0,fedadam_schema,3,0.41948333333333326,0.06392209666136434,0.41998630250148683,7720.0
CIFAR-10 overlap,overlap,1.0,fedproto_schema,3,0.43811111111111106,0.023365745409358117,0.43870823108359425,7724.0
CIFAR-10 overlap,overlap,1.0,shared_observable,3,0.43761666666666665,0.030598177286097955,0.43818248590706055,7724.0
CIFAR-10 overlap,overlap,1.0,no_schema,3,0.15579444444444443,0.010086869778607538,0.1557709219733298,7724.0
CIFAR-10 overlap,overlap,1.0,wrong_schema,3,0.11357777777777779,0.013513998948457846,0.11410276812140199,11564.0
Fashion-10 clients,clients,50.0,qproto_masked_hop,3,0.6714766666666666,0.056781680683900757,0.6712473941247366,24364.0
Fashion-10 clients,clients,50.0,qproto_chop,3,0.6692166666666667,0.06401191035174235,0.6689962363482689,11564.0
Fashion-10 clients,clients,50.0,qproto_cproto,3,0.66852,0.06245437012297239,0.6682821602530633,7724.0
Fashion-10 clients,clients,50.0,fedadam_schema,3,0.5901066666666667,0.043915218161762005,0.5906042722312242,7720.0
Fashion-10 clients,clients,50.0,fedproto_schema,3,0.60162,0.030625341071815648,0.6014537592608685,7724.0
Fashion-10 clients,clients,50.0,shared_observable,3,0.6595566666666667,0.05637371414311548,0.6590726895991429,7724.0
Fashion-10 clients,clients,50.0,no_schema,3,0.20873333333333335,0.0426885239903741,0.20938658083980533,7724.0
Fashion-10 clients,clients,50.0,wrong_schema,3,0.14193333333333336,0.013701442420697126,0.14229416066209738,11564.0
Fashion-10 clients,clients,100.0,qproto_masked_hop,3,0.6730483333333334,0.05143822460311598,0.6726816644067782,24364.0
Fashion-10 clients,clients,100.0,qproto_chop,3,0.6713966666666665,0.059369624480184124,0.6710198969565278,11564.0
Fashion-10 clients,clients,100.0,qproto_cproto,3,0.6702716666666667,0.05733331761486215,0.6698776928694199,7724.0
Fashion-10 clients,clients,100.0,fedadam_schema,3,0.6142666666666667,0.04892286814576839,0.614755727874571,7720.0
Fashion-10 clients,clients,100.0,fedproto_schema,3,0.6202449999999999,0.043118641937412945,0.6199166452515249,7724.0
Fashion-10 clients,clients,100.0,shared_observable,3,0.6596883333333334,0.05392584616920178,0.6591962027413668,7724.0
Fashion-10 clients,clients,100.0,no_schema,3,0.19775333333333334,0.03517648840025659,0.1981986340528386,7724.0
Fashion-10 clients,clients,100.0,wrong_schema,3,0.13089166666666666,0.012599932577621311,0.1313245084865032,11564.0
Fashion-10 overlap,overlap,0.2,qproto_masked_hop,3,0.6695583333333333,0.01010944294111474,0.6693997192872709,24364.0
