bytes_per_client_round,class_gap_proxy,config_anchor_normalize,config_anchor_size,config_bandwidth,config_class_sep,config_classical_bandwidth,config_classical_sketch_dim,config_common_policy,config_cov_boost,config_data_structure,config_dataset,config_dataset_path,config_depol_p,config_depol_std,config_dirichlet_alpha,config_hop_dim,config_hop_weight,config_n_classes,config_n_test,config_n_train,config_obs_per_client,config_observable_overlap,config_observables,config_participation,config_readout_p,config_readout_std,config_seed,config_shot_noise_scale,config_shots,config_sketch_dim,config_wrong_shift,distortion_proxy,elapsed_sec,final_acc,final_balanced_acc,method,run
0,0.0,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.0,0.0,0.68625,0.6806508595571095,local_only,all_methods_smoke
400,0.0,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.0,0.028917551040649414,0.30312500000000003,0.3218470765345765,fedavg_forced,all_methods_smoke
404,0.27600012807318325,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.27315607454979857,0.03204655647277832,0.41125,0.4200056453962704,no_schema,all_methods_smoke
404,0.27777649279307587,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.24088259074198992,0.0489802360534668,0.393125,0.4012999587218337,forced_canonical,all_methods_smoke
532,0.33295382058032613,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.15560665024904138,0.0450136661529541,0.35,0.34497377622377623,wrong_schema,all_methods_smoke
404,0.49503118075244484,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.0,0.04840803146362305,0.5762499999999999,0.569129394910645,qproto_proto,all_methods_smoke
532,0.49503118075244484,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.0,0.036457061767578125,0.57625,0.5688334668803419,qproto_hop,all_methods_smoke
536,0.5207269746670202,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.0,0.05865597724914551,0.57875,0.571800335081585,qproto_full,all_methods_smoke
404,0.7364966926357769,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.0,0.009173870086669922,1.0,1.0,classical_kernel,all_methods_smoke
0,0.7444978726201278,,24,5.0,2.2,5.0,24,,2.5,mean,synthetic,,0.02,0.01,0.25,8,0.12,4,200,500,14,0.35,32,0.5,0.03,0.015,5,1.0,"32,64,128,256,1024",24,,0.0,0.0010211467742919922,0.995,0.9954545454545455,centralized_kernel,all_methods_smoke
1044,0.5058012416217156,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.536463737487793,0.646,0.6448155263260031,qproto_proto,anchor0_seed0
1428,0.5058012416217156,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.5085675716400146,0.6475,0.6462735219762801,qproto_hop,anchor0_seed0
1432,0.5007900698275612,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.4718687534332275,0.6484583333333334,0.64729602854692,qproto_full,anchor0_seed0
1044,0.2155514070080126,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.29731657680554907,2.38955020904541,0.39166666666666666,0.38959978908928183,no_schema,anchor0_seed0
1428,0.40477327413906666,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.1488803721729864,3.452542304992676,0.2772916666666666,0.27613103760502866,wrong_schema,anchor0_seed0
1044,0.48546889618221134,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,3.3798561096191406,0.6024166666666667,0.6000645840569521,qproto_proto,anchor0_seed1
1428,0.48546889618221134,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,3.448899984359741,0.6030833333333333,0.6007441345175494,qproto_hop,anchor0_seed1
1432,0.4648031658209177,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,3.3389761447906494,0.6312500000000001,0.628427097446191,qproto_full,anchor0_seed1
1044,0.2726440444111373,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.27609316319258037,2.312866687774658,0.44425,0.4436035543872728,no_schema,anchor0_seed1
1428,0.4110584673615654,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.1425037893731817,3.4335412979125977,0.28275,0.2855314051101768,wrong_schema,anchor0_seed1
